DOCX_order,DOCX_id,PDF_order,PDF_id,similarity,pos_diff,status
1,t001,1,t001,1.0,0,MATCH
2,t002,2,t002,1.0,0,MATCH
3,t003,3,t003,1.0,0,MATCH
4,t004,4,t004,1.0,0,MATCH
5,t005,5,t005,0.983,0,MATCH
6,t006,6,t006,1.0,0,MATCH
7,t007,7,t007,1.0,0,MATCH
8,t008,8,t008,1.0,0,MATCH
9,t009,,,,,MISSING_IN_PDF
10,t010,9,t009,1.0,1,MATCH
11,t011,10,t010,1.0,1,MATCH
12,t012,11,t011,1.0,1,MATCH
13,t013,12,t012,1.0,1,MATCH
14,t014,13,t013,1.0,1,MATCH
15,t015,14,t014,1.0,1,MATCH
16,t016,15,t015,1.0,1,MATCH
17,t017,16,t016,1.0,1,MATCH
18,t018,17,t017,1.0,1,MATCH
19,t019,18,t018,1.0,1,MATCH
20,t020,19,t019,1.0,1,MATCH
21,t021,20,t020,1.0,1,MATCH
22,t022,21,t021,1.0,1,MATCH
23,t023,22,t022,0.0,1,WEAK_MATCH
24,t024,23,t023,1.0,1,MATCH
25,t025,24,t024,1.0,1,MATCH
